Open,High,Low,Close,Adj Close,Volume,Date
44.450001,44.580002,44.23,44.380001,37.787922,9672000.0,2017-07-10
44.32,44.48,44.150002,44.330002,37.745354,10300700.0,2017-07-11
44.59,44.77,44.439999,44.509998,37.898613,7737400.0,2017-07-12
44.490002,44.529999,44.369999,44.43,37.83049,6371900.0,2017-07-13
44.52,44.720001,44.5,44.68,38.043362,8558700.0,2017-07-14
44.66,44.790001,44.610001,44.73,38.08593,7189200.0,2017-07-17
44.779999,44.849998,44.619999,44.669998,38.034847,9037200.0,2017-07-18
44.669998,44.84,44.549999,44.830002,38.171085,6986900.0,2017-07-19
44.900002,44.98,44.75,44.82,38.16256,7430300.0,2017-07-20
44.779999,45.07,44.669998,45.029999,38.34137,8545600.0,2017-07-21
45.040001,45.049999,44.830002,44.84,38.179592,9103600.0,2017-07-24
45.02,45.290001,44.939999,45.240002,38.520176,14096300.0,2017-07-25
44.549999,45.790001,44.310001,45.740002,38.945915,13608900.0,2017-07-26
45.799999,46.43,45.700001,46.119999,39.26947,15195200.0,2017-07-27
46.0,46.119999,45.73,46.009998,39.175808,11945300.0,2017-07-28
46.0,46.080002,45.790001,45.84,39.031059,13622900.0,2017-07-31
45.970001,46.060001,45.650002,45.700001,38.911861,10306800.0,2017-08-01
45.599998,46.0,45.380001,45.59,38.818188,10187900.0,2017-08-02
45.650002,45.950001,45.630001,45.669998,38.886314,14261400.0,2017-08-03
45.669998,45.759998,45.470001,45.5,38.741562,9523600.0,2017-08-04
45.52,45.759998,45.5,45.639999,38.86076,6226300.0,2017-08-07
45.639999,45.82,45.549999,45.599998,38.826706,5747900.0,2017-08-08
45.560001,45.66,45.330002,45.59,38.818188,9635300.0,2017-08-09
45.560001,45.84,45.459999,45.740002,38.945915,8901600.0,2017-08-10
45.860001,45.900002,45.57,45.59,38.818188,8357600.0,2017-08-11
45.669998,45.939999,45.619999,45.799999,38.997002,8421200.0,2017-08-14
45.799999,46.25,45.799999,46.189999,39.329071,9638100.0,2017-08-15
46.150002,46.34,46.119999,46.200001,39.337578,8087300.0,2017-08-16
46.119999,46.330002,45.849998,45.860001,39.048088,8477000.0,2017-08-17
45.799999,45.900002,45.630001,45.669998,38.886314,10879800.0,2017-08-18
45.669998,45.799999,45.560001,45.68,38.894821,9429700.0,2017-08-21
45.700001,45.75,45.540001,45.599998,38.826706,10536700.0,2017-08-22
45.630001,45.66,45.439999,45.540001,38.77562,6528400.0,2017-08-23
45.540001,45.610001,45.310001,45.41,38.664928,7534400.0,2017-08-24
45.599998,45.759998,45.560001,45.57,38.801167,8807100.0,2017-08-25
45.630001,45.689999,45.380001,45.419998,38.673443,8024000.0,2017-08-28
45.400002,45.57,45.25,45.450001,38.69899,7762200.0,2017-08-29
45.360001,45.540001,45.290001,45.389999,38.647896,7134900.0,2017-08-30
45.400002,45.650002,45.34,45.549999,38.78413,14264600.0,2017-08-31
45.639999,45.799999,45.540001,45.779999,38.979965,7391200.0,2017-09-01
45.75,45.93,45.650002,45.919998,39.099174,9916700.0,2017-09-05
45.98,46.040001,45.790001,45.959999,39.133228,9238900.0,2017-09-06
46.009998,46.32,45.959999,46.279999,39.405693,9418400.0,2017-09-07
46.189999,46.369999,46.02,46.299999,39.422726,10534900.0,2017-09-08
46.349998,46.59,46.220001,46.52,39.610058,10430300.0,2017-09-11
46.5,46.75,46.450001,46.720001,39.78035,8567600.0,2017-09-12
46.68,46.98,46.650002,46.869999,39.90807,10218000.0,2017-09-13
46.400002,46.470001,45.939999,46.110001,39.57336,13768800.0,2017-09-14
46.299999,46.360001,46.0,46.18,39.633423,16141400.0,2017-09-15
46.150002,46.240002,45.91,46.110001,39.57336,8535300.0,2017-09-18
46.139999,46.189999,45.889999,45.98,39.461781,7297900.0,2017-09-19
45.759998,46.150002,45.549999,45.779999,39.290131,11026600.0,2017-09-20
45.709999,45.790001,45.360001,45.400002,38.964001,7555300.0,2017-09-21
45.450001,45.630001,45.369999,45.490002,39.041241,8024800.0,2017-09-22
45.5,45.759998,45.349998,45.689999,39.212883,9215300.0,2017-09-25
45.689999,45.869999,45.560001,45.57,39.109905,6480100.0,2017-09-26
45.470001,45.5,44.380001,44.639999,38.311737,14816200.0,2017-09-27
44.669998,45.0,44.650002,44.91,38.543472,8789500.0,2017-09-28
44.860001,45.110001,44.790001,45.009998,38.629284,10082200.0,2017-09-29
45.049999,45.27,44.75,44.799999,38.44907,10707800.0,2017-10-02
44.860001,45.259998,44.759998,45.189999,38.783764,12038100.0,2017-10-03
45.110001,45.560001,44.939999,45.5,39.049828,14060300.0,2017-10-04
45.509998,45.75,45.5,45.52,39.066986,10215300.0,2017-10-05
45.389999,45.52,45.279999,45.490002,39.041241,5437900.0,2017-10-06
45.549999,45.650002,45.34,45.41,38.97258,5268300.0,2017-10-09
45.599998,45.900002,45.529999,45.869999,39.367374,6310400.0,2017-10-10
45.880001,46.099998,45.869999,46.099998,39.564766,6638200.0,2017-10-11
45.98,46.139999,45.939999,46.110001,39.57336,7710200.0,2017-10-12
46.25,46.380001,46.150002,46.18,39.633423,7126000.0,2017-10-13
46.119999,46.75,46.099998,46.619999,40.011059,12708600.0,2017-10-16
46.529999,46.630001,46.310001,46.52,39.925228,7699400.0,2017-10-17
