Open,High,Low,Close,Adj Close,Volume,Date
47.02,47.369999,46.939999,47.150002,45.953728,635900.0,2017-07-10
47.240002,47.240002,46.68,46.900002,45.710064,615200.0,2017-07-11
46.830002,47.0,46.700001,46.790001,45.602852,551400.0,2017-07-12
46.689999,46.970001,46.669998,46.93,45.739311,507100.0,2017-07-13
46.799999,47.25,46.610001,46.950001,45.758801,450700.0,2017-07-14
46.799999,47.23,46.639999,47.150002,45.953728,502100.0,2017-07-17
47.02,47.290001,46.970001,47.240002,46.041439,802400.0,2017-07-18
47.299999,47.970001,47.259998,47.91,46.694443,806600.0,2017-07-19
47.91,48.150002,47.700001,47.799999,46.587231,968700.0,2017-07-20
47.630001,47.98,47.57,47.889999,46.674938,530100.0,2017-07-21
47.919998,48.080002,47.91,48.02,46.801647,587000.0,2017-07-24
48.450001,48.59,48.32,48.48,47.249969,589000.0,2017-07-25
48.529999,48.529999,48.02,48.119999,46.899105,470200.0,2017-07-26
48.09,48.189999,47.869999,48.119999,46.899105,632400.0,2017-07-27
48.16,48.389999,47.970001,48.259998,47.035553,537300.0,2017-07-28
47.75,48.970001,47.09,48.68,47.444901,1080000.0,2017-07-31
48.799999,49.27,48.380001,49.189999,47.941952,1118200.0,2017-08-01
49.080002,49.459999,48.970001,49.119999,47.873737,1135500.0,2017-08-02
49.25,49.580002,48.93,48.970001,47.727551,1296800.0,2017-08-03
49.16,49.25,48.970001,49.139999,47.89323,937100.0,2017-08-04
49.16,49.200001,48.959999,49.02,47.776279,692200.0,2017-08-07
48.93,49.189999,48.849998,48.939999,47.698296,792000.0,2017-08-08
48.75,48.869999,48.52,48.869999,47.630074,1043600.0,2017-08-09
48.619999,48.84,48.470001,48.580002,47.347439,693600.0,2017-08-10
48.52,48.619999,48.18,48.27,47.045307,527000.0,2017-08-11
48.57,48.779999,48.419998,48.439999,47.210995,715900.0,2017-08-14
48.619999,48.77,48.360001,48.369999,47.142769,354000.0,2017-08-15
48.5,48.610001,48.279999,48.310001,47.084297,714700.0,2017-08-16
48.16,48.439999,47.419998,47.43,46.22662,828200.0,2017-08-17
47.299999,47.860001,47.259998,47.580002,46.372814,793600.0,2017-08-18
47.59,47.59,47.32,47.400002,46.197388,685600.0,2017-08-21
47.5,47.790001,47.490002,47.77,46.557991,626700.0,2017-08-22
47.5,47.810001,47.48,47.490002,46.285095,603300.0,2017-08-23
47.580002,47.619999,47.209999,47.209999,46.012192,722200.0,2017-08-24
47.330002,47.610001,47.189999,47.48,46.275345,1045200.0,2017-08-25
47.470001,47.470001,46.75,46.900002,45.770802,613300.0,2017-08-28
46.549999,46.68,46.369999,46.619999,45.497536,639600.0,2017-08-29
46.610001,46.82,46.59,46.619999,45.497536,447600.0,2017-08-30
46.700001,46.810001,46.439999,46.580002,45.4585,904300.0,2017-08-31
46.68,47.049999,46.57,46.91,45.780556,769800.0,2017-09-01
46.709999,46.759998,45.68,45.84,44.73632,1669900.0,2017-09-05
46.009998,46.459999,45.82,46.169998,45.058365,908200.0,2017-09-06
46.16,46.16,45.07,45.119999,44.033657,928000.0,2017-09-07
45.02,46.18,45.009998,45.970001,44.863182,1175000.0,2017-09-08
46.48,47.099998,46.41,46.73,45.604889,882400.0,2017-09-11
46.799999,47.009998,46.689999,46.880001,45.751278,1164600.0,2017-09-12
46.810001,47.349998,46.639999,47.16,46.024529,1184700.0,2017-09-13
47.110001,47.360001,46.939999,47.220001,46.083084,890600.0,2017-09-14
47.049999,47.5,46.990002,47.490002,46.346592,1298300.0,2017-09-15
47.59,47.650002,47.349998,47.5,46.35635,890600.0,2017-09-18
