Open,High,Low,Close,Adj Close,Volume,Date
26.92,26.965,26.700001,26.84,20.770414,1732500.0,2017-07-10
26.879999,27.15,26.77,27.01,20.901972,1503900.0,2017-07-11
27.18,27.360001,26.879999,27.0,20.894236,1034200.0,2017-07-12
27.08,27.23,26.58,26.73,20.685289,1141200.0,2017-07-13
26.75,27.049999,26.700001,26.870001,20.793631,1259400.0,2017-07-14
26.809999,27.57,26.67,27.23,21.072218,2447600.0,2017-07-17
27.27,27.389999,27.155001,27.200001,21.049004,1636900.0,2017-07-18
27.32,27.43,27.049999,27.24,21.079956,1297600.0,2017-07-19
27.299999,27.299999,26.450001,26.48,20.491823,2249800.0,2017-07-20
26.469999,26.75,26.469999,26.629999,20.607903,1713000.0,2017-07-21
26.639999,27.200001,26.610001,26.98,20.878756,1551300.0,2017-07-24
27.049999,27.059999,26.76,26.82,20.754936,782700.0,2017-07-25
26.93,27.25,26.59,26.690001,20.654337,904400.0,2017-07-26
26.709999,27.200001,26.51,26.92,20.832323,897500.0,2017-07-27
26.879999,26.985001,26.639999,26.879999,20.801369,636400.0,2017-07-28
26.83,27.014999,26.809999,26.93,20.840065,2050100.0,2017-07-31
27.030001,27.18,26.870001,27.07,20.948404,1990300.0,2017-08-01
27.1,27.115,26.450001,26.629999,20.607903,1528300.0,2017-08-02
26.540001,26.819,25.9,26.01,20.128111,2764700.0,2017-08-03
26.01,26.67,25.870001,26.440001,20.460867,1640300.0,2017-08-04
26.440001,26.799999,26.34,26.66,20.631117,1415000.0,2017-08-07
26.66,26.73,26.190001,26.25,20.313839,1893400.0,2017-08-08
26.35,26.43,25.83,26.030001,20.143589,1517500.0,2017-08-09
25.879999,26.02,25.73,25.969999,20.097153,1307300.0,2017-08-10
25.76,26.120001,25.76,26.1,20.197758,940300.0,2017-08-11
26.15,26.450001,26.129999,26.360001,20.39896,919000.0,2017-08-14
26.370001,26.370001,26.18,26.370001,20.4067,999800.0,2017-08-15
26.51,26.66,26.423,26.530001,20.530519,1092600.0,2017-08-16
26.4,26.440001,25.955,25.98,20.104895,1436200.0,2017-08-17
25.99,26.129999,25.809999,25.92,20.05846,1146600.0,2017-08-18
25.93,26.02,25.65,26.02,20.135847,903300.0,2017-08-21
26.1,26.370001,26.030001,26.23,20.298363,665700.0,2017-08-22
26.1,26.18,25.879999,25.9,20.042988,784000.0,2017-08-23
25.940001,26.040001,25.85,25.940001,20.07394,1359500.0,2017-08-24
25.93,26.219999,25.870001,26.1,20.197758,567700.0,2017-08-25
26.18,26.225,25.49,25.84,19.996555,1607500.0,2017-08-28
25.77,26.17,25.75,25.98,20.104895,867400.0,2017-08-29
25.9,26.4,25.879999,26.299999,20.352528,1263600.0,2017-08-30
26.43,26.74,26.32,26.690001,20.654337,1960800.0,2017-08-31
26.700001,27.129999,26.66,26.889999,20.809109,1050000.0,2017-09-01
26.91,27.02,26.040001,26.190001,20.267405,1206600.0,2017-09-05
26.18,26.629999,26.18,26.549999,20.545996,1026100.0,2017-09-06
26.67,26.68,26.16,26.559999,20.553732,839700.0,2017-09-07
26.540001,26.754999,26.370001,26.620001,20.600166,697300.0,2017-09-08
26.83,27.41,26.805,27.110001,20.979357,1966700.0,2017-09-11
27.129999,27.27,26.940001,27.209999,21.056744,1180900.0,2017-09-12
27.23,27.41,26.690001,27.41,21.211514,1871000.0,2017-09-13
27.389999,27.57,27.290001,27.42,21.219254,1328400.0,2017-09-14
27.25,27.620001,27.209999,27.49,21.273422,3585600.0,2017-09-15
27.450001,27.450001,27.0,27.190001,21.041265,1338600.0,2017-09-18
27.27,27.309999,26.780001,26.9,20.816845,2186000.0,2017-09-19
26.860001,27.370001,26.860001,27.32,21.141867,1432600.0,2017-09-20
27.280001,27.459999,27.139999,27.280001,21.11091,1008200.0,2017-09-21
27.33,27.65,27.33,27.530001,21.304382,1485200.0,2017-09-22
27.540001,28.07,27.540001,27.82,21.528795,1677400.0,2017-09-25
27.879999,27.879999,27.370001,27.67,21.412714,1802800.0,2017-09-26
27.709999,27.77,27.17,27.35,21.165083,1795100.0,2017-09-27
26.889999,27.735001,26.851,27.59,21.691851,1841400.0,2017-09-28
27.49,27.73,27.360001,27.559999,21.668262,1057900.0,2017-09-29
27.559999,27.709999,27.42,27.559999,21.668262,1389000.0,2017-10-02
27.49,27.530001,26.9,27.190001,21.377365,1063600.0,2017-10-03
27.190001,27.5,27.049999,27.440001,21.573919,925000.0,2017-10-04
27.5,27.709999,27.43,27.629999,21.723299,942900.0,2017-10-05
27.57,27.799999,27.450001,27.74,21.809784,899700.0,2017-10-06
27.75,28.049999,27.68,28.030001,22.037788,1141200.0,2017-10-09
28.040001,28.35,27.85,28.0,22.014202,966600.0,2017-10-10
28.09,28.17,27.870001,28.030001,22.037788,900300.0,2017-10-11
28.049999,28.74,27.870001,28.549999,22.446625,1849400.0,2017-10-12
28.690001,28.790001,28.34,28.68,22.548832,1135900.0,2017-10-13
28.690001,28.860001,28.610001,28.709999,22.57242,863400.0,2017-10-16
28.709999,28.799999,28.469999,28.59,22.478073,1054800.0,2017-10-17
28.59,28.84,28.540001,28.74,22.596006,678800.0,2017-10-18
28.700001,29.09,28.610001,28.969999,22.776836,977100.0,2017-10-19
29.07,29.1,28.440001,28.48,22.391588,1408600.0,2017-10-20
28.51,28.52,28.02,28.030001,22.037788,791400.0,2017-10-23
28.129999,28.35,28.01,28.299999,22.250067,497600.0,2017-10-24
28.309999,28.370001,28.08,28.09,22.084963,766800.0,2017-10-25
28.299999,28.66,28.1,28.57,22.462349,700400.0,2017-10-26
28.57,28.65,28.290001,28.52,22.423037,642900.0,2017-10-27
28.549999,28.6,28.110001,28.16,22.139997,959900.0,2017-10-30
28.23,28.84,28.1,28.790001,22.635319,2511500.0,2017-10-31
28.809999,29.08,28.719999,28.93,22.74539,1093400.0,2017-11-01
28.82,29.17,28.530001,29.049999,22.839733,1617200.0,2017-11-02
29.01,29.219999,28.620001,29.08,22.863323,1717300.0,2017-11-03
29.129999,29.32,29.1,29.26,23.004839,1160200.0,2017-11-06
29.379999,29.9,28.92,29.25,22.996979,1576900.0,2017-11-07
29.309999,29.41,29.138,29.290001,23.028431,666000.0,2017-11-08
29.26,29.360001,29.02,29.120001,22.894772,787700.0,2017-11-09
29.110001,29.139999,28.610001,28.809999,22.651039,815200.0,2017-11-10
28.84,28.93,28.57,28.77,22.619595,792500.0,2017-11-13
28.58,28.66,28.25,28.379999,22.312965,892600.0,2017-11-14
28.32,28.68,28.209999,28.5,22.407312,994200.0,2017-11-15
28.49,28.950001,28.440001,28.92,22.737526,1221700.0,2017-11-16
28.959999,29.129999,28.860001,28.92,22.737526,978000.0,2017-11-17
28.35,28.719999,28.040001,28.67,22.540972,1290800.0,2017-11-20
28.6,29.26,28.530001,29.139999,22.910492,1158600.0,2017-11-21
29.129999,29.26,28.93,29.08,22.863323,648800.0,2017-11-22
29.18,29.219999,28.809999,28.82,22.658903,292100.0,2017-11-24
28.799999,28.913,28.629999,28.700001,22.564558,698900.0,2017-11-27
28.73,28.73,27.83,28.120001,22.108553,3946000.0,2017-11-28
28.33,29.139999,28.205,28.9,22.7218,3333100.0,2017-11-29
28.959999,29.4,28.594999,29.200001,22.957666,2862800.0,2017-11-30
29.200001,29.27,28.525,28.809999,22.651039,983000.0,2017-12-01
29.440001,29.459999,28.635,28.74,22.596006,1803800.0,2017-12-04
28.700001,28.945,28.620001,28.799999,22.643179,1280000.0,2017-12-05
28.51,28.91,28.280001,28.379999,22.312965,2003300.0,2017-12-06
28.51,28.700001,28.379999,28.450001,22.368002,2372100.0,2017-12-07
28.780001,28.780001,28.209999,28.41,22.336552,2284100.0,2017-12-08
28.43,28.610001,28.299999,28.370001,22.305105,1618300.0,2017-12-11
28.51,28.75,28.26,28.280001,22.234344,2227900.0,2017-12-12
28.33,28.690001,28.290001,28.32,22.265791,1366300.0,2017-12-13
28.48,28.73,28.389999,28.65,22.525246,1967300.0,2017-12-14
28.76,28.9,28.469999,28.530001,22.430901,3643700.0,2017-12-15
28.639999,29.52,28.6,29.42,23.130636,2129900.0,2017-12-18
29.4,29.48,28.879999,28.9,22.7218,2128800.0,2017-12-19
28.950001,29.08,28.709999,29.0,22.800425,1714200.0,2017-12-20
29.530001,29.690001,29.0,29.049999,22.839733,1980500.0,2017-12-21
29.200001,29.479,28.879999,29.370001,23.091328,1081300.0,2017-12-22
29.34,29.559999,29.200001,29.25,22.996979,661400.0,2017-12-26
29.309999,29.389999,29.139999,29.15,22.91836,1020600.0,2017-12-27
28.629999,28.91,28.565001,28.91,23.166771,904800.0,2017-12-28
28.969999,29.136,28.75,28.75,23.038559,950600.0,2017-12-29
28.870001,28.99,28.559999,28.85,23.11869,1294800.0,2018-01-02
28.84,29.26,28.82,28.940001,23.190813,1397700.0,2018-01-03
29.02,29.120001,28.549999,28.67,22.974451,1402000.0,2018-01-04
28.700001,28.780001,28.459999,28.690001,22.990475,1169900.0,2018-01-05
28.67,28.85,28.48,28.620001,22.934383,1113300.0,2018-01-08
28.719999,28.735001,28.49,28.709999,23.006504,1851400.0,2018-01-09
28.66,29.040001,28.51,28.84,23.110678,1710000.0,2018-01-10
28.91,29.209999,28.66,29.09,23.311012,1897900.0,2018-01-11
29.1,29.17,28.74,28.950001,23.198828,1246300.0,2018-01-12
29.09,29.370001,29.01,29.049999,23.278959,1883300.0,2018-01-16
29.209999,29.41,29.02,29.27,23.455257,2028400.0,2018-01-17
29.35,29.385,28.809999,28.9,23.158758,979200.0,2018-01-18
29.030001,29.4,28.950001,29.18,23.383133,1434300.0,2018-01-19
29.27,29.440001,29.08,29.34,23.511347,1545500.0,2018-01-22
29.42,29.84,29.27,29.799999,23.879967,1229000.0,2018-01-23
29.860001,29.93,29.59,29.68,23.783806,1214500.0,2018-01-24
29.75,29.84,29.52,29.58,23.703672,1541900.0,2018-01-25
29.709999,29.709999,29.4,29.51,23.647579,2092600.0,2018-01-26
29.43,29.655001,29.190001,29.57,23.695658,892600.0,2018-01-29
29.35,29.43,28.809999,28.940001,23.190813,2092900.0,2018-01-30
29.1,29.200001,28.58,28.91,23.166771,2062100.0,2018-01-31
28.83,29.09,28.684999,28.780001,23.062599,940000.0,2018-02-01
28.6,28.690001,27.92,28.01,22.445564,1520800.0,2018-02-02
27.879999,27.959999,26.959999,26.98,21.620184,1680900.0,2018-02-05
26.51,27.719999,26.25,27.65,22.157084,2216400.0,2018-02-06
27.610001,27.93,27.440001,27.639999,22.149069,2369700.0,2018-02-07
27.639999,27.68,26.719999,26.75,21.435879,2517100.0,2018-02-08
27.0,27.389999,26.6,27.25,21.836548,2711000.0,2018-02-09
27.360001,27.469999,26.200001,27.08,21.700315,2241800.0,2018-02-12
26.879999,27.290001,26.555,27.200001,21.796478,1925500.0,2018-02-13
26.969999,27.280001,26.780001,27.27,21.852573,1758400.0,2018-02-14
27.48,27.530001,26.9,27.129999,21.740387,1401400.0,2018-02-15
27.07,27.379999,27.0,27.18,21.780451,792900.0,2018-02-16
27.1,27.24,26.540001,26.549999,21.275608,1375400.0,2018-02-20
26.27,26.610001,25.93,26.059999,20.882948,1793900.0,2018-02-21
26.18,26.290001,26.0,26.1,20.915005,1266200.0,2018-02-22
26.290001,26.565001,26.195,26.559999,21.283619,905900.0,2018-02-23
26.66,26.695,26.389999,26.540001,21.267593,1139600.0,2018-02-26
26.540001,26.6,26.25,26.25,21.035206,2074800.0,2018-02-27
26.290001,26.41,25.99,25.99,20.826857,2298300.0,2018-02-28
25.93,26.139999,25.709999,25.93,20.778776,1500800.0,2018-03-01
25.52,25.59,24.23,24.42,19.568748,3607800.0,2018-03-02
24.18,25.16,23.91,24.959999,20.001472,5273600.0,2018-03-05
25.18,26.18,25.030001,26.15,20.955069,4062100.0,2018-03-06
26.809999,26.879999,26.41,26.809999,21.483957,18264800.0,2018-03-07
26.799999,27.195,26.530001,26.940001,21.588129,4882800.0,2018-03-08
26.99,27.674999,26.870001,27.0,21.636213,9637700.0,2018-03-09
27.09,27.389999,26.870001,27.0,21.636213,3221300.0,2018-03-12
27.0,27.26,26.780001,27.040001,21.668264,3499200.0,2018-03-13
27.040001,27.07,26.65,27.040001,21.668264,2930100.0,2018-03-14
27.059999,27.084999,26.683001,27.040001,21.668264,1903800.0,2018-03-15
27.129999,27.370001,26.860001,27.309999,21.884628,4650500.0,2018-03-16
27.299999,27.299999,26.725,27.040001,21.668264,2464300.0,2018-03-19
27.030001,27.299999,26.879999,26.940001,21.588129,1987500.0,2018-03-20
26.959999,27.040001,26.75,26.870001,21.532036,2478000.0,2018-03-21
26.59,26.959999,26.360001,26.370001,21.131365,1782000.0,2018-03-22
26.459999,26.6,25.780001,26.08,20.898977,6037600.0,2018-03-23
