Open,High,Low,Close,Adj Close,Volume,Date
21.17,22.290001,20.889999,21.860001,21.096912,14192500.0,2017-07-10
22.129999,22.450001,21.940001,22.309999,21.531206,12563300.0,2017-07-11
22.59,22.93,22.469999,22.85,22.052355,11926200.0,2017-07-12
23.25,24.1,22.459999,23.709999,22.882332,30123800.0,2017-07-13
23.790001,23.84,23.16,23.209999,22.39979,16191500.0,2017-07-14
23.51,23.65,23.139999,23.35,22.534901,13323900.0,2017-07-17
23.26,23.6,22.91,23.34,22.525246,12860400.0,2017-07-18
23.440001,24.5,23.18,24.469999,23.615803,19643000.0,2017-07-19
24.42,24.48,23.790001,24.15,23.306978,14534200.0,2017-07-20
23.940001,24.15,23.65,23.68,22.85338,12411000.0,2017-07-21
23.799999,23.889999,23.18,23.799999,22.969191,12766100.0,2017-07-24
24.219999,25.09,24.18,24.440001,23.586851,24480400.0,2017-07-25
26.549999,27.440001,25.68,26.200001,25.285416,48770800.0,2017-07-26
26.0,26.18,24.719999,25.0,24.127302,21441600.0,2017-07-27
24.48,24.5,22.790001,22.98,22.177816,34741900.0,2017-07-28
23.4,23.73,23.059999,23.49,22.670013,15346900.0,2017-07-31
23.52,23.559999,22.629999,22.719999,21.926895,14079300.0,2017-08-01
22.57,23.0,22.379999,22.809999,22.013754,11395300.0,2017-08-02
22.76,23.309999,22.620001,22.969999,22.168169,9288300.0,2017-08-03
23.219999,23.75,22.91,23.549999,22.727919,11084800.0,2017-08-04
24.0,24.49,23.950001,24.190001,23.395247,12203200.0,2017-08-07
24.040001,24.76,23.549999,24.17,23.375908,14084100.0,2017-08-08
23.82,24.450001,23.780001,24.08,23.288862,9924100.0,2017-08-09
23.84,24.52,23.75,23.84,23.056746,10981100.0,2017-08-10
23.57,23.85,22.940001,23.16,22.399084,10807200.0,2017-08-11
23.35,23.65,23.16,23.33,22.563509,8157900.0,2017-08-14
23.440001,24.07,23.34,23.709999,22.931017,9754200.0,2017-08-15
23.98,24.959999,23.9,24.629999,23.820789,17202600.0,2017-08-16
24.41,24.790001,23.709999,23.75,22.969702,12421900.0,2017-08-17
23.92,24.030001,23.35,23.700001,22.921345,10129400.0,2017-08-18
23.83,24.07,23.219999,23.32,22.553831,8787900.0,2017-08-21
23.549999,24.469999,23.52,24.25,23.453279,14347000.0,2017-08-22
24.02,24.940001,23.93,24.889999,24.072248,10307400.0,2017-08-23
24.9,25.34,24.6,24.809999,23.994881,9440800.0,2017-08-24
25.01,25.120001,24.610001,24.940001,24.120609,6924000.0,2017-08-25
